report_date,ext_killed_cum,ext_injured_cum,ext_massacres_cum
2023-10-07,232,1610,0
2023-10-08,370,1788,0
2023-10-09,560,2271,8
2023-10-10,900,4000,8
2023-10-11,1100,5184,23
2023-10-12,1417,5763,23
2023-10-13,1900,7238,23
2023-10-14,2228,8714,23
2023-10-15,2670,9200,23
2023-10-16,2808,10850,371
2023-10-17,3000,11457,394
2023-10-18,3478,12065,394
2023-10-19,3785,12493,394
2023-10-20,4137,13162,431
2023-10-21,4385,13561,460
2023-10-22,4651,14245,484
2023-10-23,5087,15273,507
2023-10-24,5791,16297,644
2023-10-25,6547,17439,688
2023-10-26,7028,18482,731
2023-10-27,7326,18967,772
2023-10-28,7703,19604,772
2023-10-29,8005,20242,881
2023-10-30,8309,21048,908
2023-10-31,8525,21543,926
2023-11-01,8805,22240,950
2023-11-02,9061,22911,965
2023-11-03,9257,23516,997
2023-11-04,9485,24158,1006
2023-11-05,9770,24808,1031
2023-11-06,10022,25000,1031
2023-11-07,10328,25956,1071
2023-11-08,10569,26475,1098
2023-11-09,10818,26905,1118
2023-11-10,11078,27490,1130
2023-11-11,11129,27845,1130
2023-11-12,11180,28200,1142
2023-11-13,11240,29000,1153
2023-11-14,11320,29200,1165
2023-11-15,11500,29800,1200
2023-11-16,12000,29900,1200
2023-11-17,12000,30000,1270
2023-11-18,12300,30000,1300
2023-11-19,13000,30000,1330
2023-11-20,13300,31000,1340
2023-11-21,14128,33000,1354
2023-11-22,14532,35000,1384
2023-11-23,14800,36000,1400
2023-11-24,14800,36000,1400
2023-11-25,14800,36000,1400
2023-11-26,14800,36000,1400
2023-11-27,14800,36000,1400
2023-11-28,14800,36000,1400
2023-11-29,14800,36000,1400
2023-11-30,14800,36000,1400
2023-12-01,14800,37000,1400
2023-12-02,15207,40652,1450
2023-12-03,15523,41316,1473
2023-12-04,15899,42000,1473
2023-12-05,16248,43616,1550
2023-12-06,16827,44808,1550
2023-12-07,17177,46000,1576
2023-12-08,17487,46480,1576
2023-12-09,17700,48780,1596
2023-12-10,17997,49229,1617
2023-12-11,18205,49645,1636
2023-12-12,18412,50100,1644
2023-12-13,18608,50594,1660
2023-12-14,18787,50897,1678
2023-12-15,18800,51000,1680
2023-12-16,19017,51200,1680
2023-12-17,19235,51743,1680
2023-12-18,19453,52286,1696
2023-12-19,19667,52586,1697
2023-12-20,19797,52831,1697
2023-12-21,19927,53075,1697
