"report_date","civic_buildings.ext_destroyed","civic_buildings.destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","educational_buildings.destroyed","educational_buildings.damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed","places_of_worship.mosques_destroyed","places_of_worship.mosques_damaged","places_of_worship.churches_destroyed","residential.ext_destroyed","residential.destroyed"
"2023-10-07",5,NA,1,15,NA,NA,2,4,0,NA,NA,NA,80,NA
"2023-10-08",11,NA,1,30,NA,NA,4,8,0,NA,NA,NA,159,159
"2023-10-09",16,NA,2,45,NA,NA,6,12,0,NA,NA,NA,790,790
"2023-10-10",22,NA,2,60,NA,NA,8,17,0,NA,NA,NA,1009,1009
"2023-10-11",27,27,3,75,3,75,10,21,0,10,NA,NA,2835,2835
"2023-10-12",29,NA,3,75,3,75,10,25,0,10,NA,NA,4188,NA
"2023-10-13",31,NA,9,100,NA,NA,12,29,0,NA,NA,NA,5540,5540
"2023-10-14",33,NA,14,124,14,124,14,33,0,NA,NA,NA,7000,7000
"2023-10-15",35,NA,14,143,14,143,16,37,0,NA,NA,NA,8840,8840
"2023-10-16",37,NA,18,150,18,150,18,41,1,NA,NA,NA,10500,10500
"2023-10-17",39,NA,18,153,18,153,20,46,1,NA,NA,NA,12000,12000
"2023-10-18",41,NA,20,157,NA,NA,22,50,1,NA,NA,NA,13577,NA
"2023-10-19",43,NA,22,160,NA,NA,24,54,1,NA,NA,NA,15154,NA
"2023-10-20",45,NA,23,164,NA,NA,26,58,1,NA,NA,NA,16731,NA
"2023-10-21",47,NA,25,167,NA,NA,28,62,1,NA,NA,NA,18308,NA
"2023-10-22",49,NA,27,171,NA,NA,30,66,1,NA,NA,NA,19885,NA
"2023-10-23",51,NA,29,174,NA,NA,32,70,1,NA,NA,NA,21462,NA
"2023-10-24",53,NA,30,178,NA,NA,34,75,1,NA,NA,NA,23038,NA
"2023-10-25",55,NA,32,181,NA,NA,36,79,1,NA,NA,NA,24615,NA
"2023-10-26",57,NA,34,185,NA,NA,38,83,1,NA,NA,NA,26192,NA
"2023-10-27",59,NA,36,188,NA,NA,39,87,1,NA,NA,NA,27769,NA
"2023-10-28",60,NA,37,192,NA,NA,41,91,1,NA,NA,NA,29346,NA
"2023-10-29",62,NA,39,196,NA,NA,43,95,1,NA,NA,NA,30923,NA
"2023-10-30",64,NA,41,199,NA,NA,45,99,1,NA,NA,NA,32500,32500
"2023-10-31",66,NA,43,203,NA,NA,47,104,1,NA,NA,NA,33571,NA
"2023-11-01",68,NA,44,206,NA,NA,49,108,1,NA,NA,NA,34643,NA
"2023-11-02",70,NA,46,210,NA,NA,51,112,1,NA,NA,NA,35714,NA
"2023-11-03",72,NA,48,213,NA,NA,53,116,1,NA,NA,NA,36786,NA
"2023-11-04",74,NA,50,217,NA,NA,55,120,2,NA,NA,NA,37857,NA
"2023-11-05",76,NA,51,220,NA,NA,57,124,2,NA,NA,NA,38929,NA
"2023-11-06",78,NA,53,224,NA,NA,59,128,2,NA,NA,NA,40000,40000
"2023-11-07",80,NA,55,227,NA,NA,61,133,2,NA,NA,NA,40250,NA
"2023-11-08",82,NA,57,231,NA,NA,63,137,2,NA,NA,NA,40500,NA
"2023-11-09",84,NA,58,234,NA,NA,65,141,2,NA,NA,NA,40750,NA
"2023-11-10",88,88,60,238,60,238,67,145,2,67,145,3,41000,41000
"2023-11-11",89,NA,60,239,NA,NA,68,146,2,NA,NA,NA,41015,NA
"2023-11-12",89,NA,61,241,NA,NA,70,148,2,NA,NA,NA,41030,41030
"2023-11-13",90,NA,61,242,NA,NA,71,149,2,NA,NA,NA,41120,41120
"2023-11-14",91,NA,61,243,NA,NA,72,151,2,NA,NA,NA,42000,42000
"2023-11-15",91,NA,62,245,NA,NA,74,152,2,NA,NA,NA,42250,NA
"2023-11-16",92,NA,62,246,NA,NA,75,154,2,NA,NA,NA,42500,NA
"2023-11-17",93,NA,62,247,NA,NA,76,155,2,NA,NA,NA,42750,NA
"2023-11-18",93,NA,63,249,NA,NA,78,156,2,NA,NA,NA,43000,43000
"2023-11-19",94,NA,63,250,NA,NA,79,158,2,NA,NA,NA,43000,43000
"2023-11-20",95,NA,63,251,NA,NA,80,159,2,NA,NA,NA,43000,43000
"2023-11-21",96,NA,63,253,NA,NA,82,161,2,NA,NA,NA,44000,44000
"2023-11-22",96,NA,64,254,NA,NA,83,162,2,NA,NA,NA,45000,45000
"2023-11-23",97,NA,64,255,NA,NA,84,164,3,NA,NA,NA,46000,46000
"2023-11-24",98,NA,64,256,NA,NA,86,165,3,NA,NA,NA,47000,NA
"2023-11-25",98,NA,65,258,NA,NA,87,166,3,NA,NA,NA,48000,NA
"2023-11-26",99,NA,65,259,NA,NA,89,168,3,NA,NA,NA,49000,NA
