"","report_date","civic_buildings.ext_destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed"
"1",2023-10-07,5,1,15,2,4,0
"2",2023-10-08,11,1,30,4,8,0
"3",2023-10-09,16,2,45,6,12,0
"4",2023-10-10,22,2,60,8,17,0
"5",2023-10-11,27,3,75,10,21,0
"6",2023-10-12,29,3,75,10,25,0
"7",2023-10-13,31,9,100,12,29,0
"8",2023-10-14,33,14,124,14,33,0
"9",2023-10-15,35,14,143,16,37,0
"10",2023-10-16,37,18,150,18,41,1
"11",2023-10-17,39,18,153,20,46,1
"12",2023-10-18,41,20,157,22,50,1
"13",2023-10-19,43,22,160,24,54,1
"14",2023-10-20,45,23,164,26,58,1
"15",2023-10-21,47,25,167,28,62,1
"16",2023-10-22,49,27,171,30,66,1
"17",2023-10-23,51,29,174,32,70,1
"18",2023-10-24,53,30,178,34,75,1
"19",2023-10-25,55,32,181,36,79,1
"20",2023-10-26,57,34,185,38,83,1
"21",2023-10-27,59,36,188,39,87,1
"22",2023-10-28,60,37,192,41,91,1
"23",2023-10-29,62,39,196,43,95,1
"24",2023-10-30,64,41,199,45,99,1
"25",2023-10-31,66,43,203,47,104,1
"26",2023-11-01,68,44,206,49,108,1
"27",2023-11-02,70,46,210,51,112,1
"28",2023-11-03,72,48,213,53,116,1
"29",2023-11-04,74,50,217,55,120,2
"30",2023-11-05,76,51,220,57,124,2
"31",2023-11-06,78,53,224,59,128,2
"32",2023-11-07,80,55,227,61,133,2
"33",2023-11-08,82,57,231,63,137,2
"34",2023-11-09,84,58,234,65,141,2
"35",2023-11-10,88,60,238,67,145,2
"36",2023-11-11,89,60,239,68,146,2
"37",2023-11-12,89,61,241,70,148,2
"38",2023-11-13,90,61,242,71,149,2
"39",2023-11-14,91,61,243,72,151,2
"40",2023-11-15,91,62,245,74,152,2
"41",2023-11-16,92,62,246,75,154,2
"42",2023-11-17,93,62,247,76,155,2
"43",2023-11-18,93,63,249,78,156,2
"44",2023-11-19,94,63,250,79,158,2
"45",2023-11-20,95,63,251,80,159,2
"46",2023-11-21,96,63,253,82,161,2
"47",2023-11-22,96,64,254,83,162,2
"48",2023-11-23,97,64,255,84,164,3
"49",2023-11-24,98,64,256,86,165,3
"50",2023-11-25,98,65,258,87,166,3
"51",2023-11-26,99,65,259,89,168,3
"52",2023-11-27,100,65,260,90,169,3
"53",2023-11-28,100,66,262,91,171,3
"54",2023-11-29,101,66,263,93,172,3
"55",2023-11-30,102,66,264,94,174,3
"56",2023-12-01,103,67,267,95,175,3
"57",2023-12-02,103,67,267,97,181,3
"58",2023-12-03,103,67,270,98,183,3
"59",2023-12-04,107,69,271,99,186,3
"60",2023-12-05,110,70,273,101,189,3
"61",2023-12-06,114,72,274,102,191,3
"62",2023-12-07,121,73,275,103,194,3
"63",2023-12-08,122,73,275,105,194,3
"64",2023-12-09,123,74,276,106,195,3
"65",2023-12-10,124,74,276,107,195,3
"66",2023-12-11,124,75,276,109,196,3
"67",2023-12-12,126,75,277,110,196,3
"68",2023-12-13,126,80,278,111,197,3
"69",2023-12-14,126,85,280,111,199,3
"70",2023-12-15,126,90,282,112,200,3
"71",2023-12-16,126,90,282,112,200,3
"72",2023-12-17,126,90,282,112,200,3
"73",2023-12-18,126,90,282,112,200,3
"74",2023-12-19,126,90,282,112,200,3
"75",2023-12-20,126,90,283,114,200,3
"76",2023-12-21,126,91,284,114,200,3
"77",2023-12-22,126,91,284,115,200,3
"78",2023-12-23,126,92,285,115,200,3
"79",2023-12-24,126,92,285,115,200,3
"80",2023-12-25,126,92,285,115,200,3
"81",2023-12-26,126,92,285,115,200,3
"82",2023-12-27,126,92,285,115,200,3
"83",2023-12-28,126,92,285,116,203,3
"84",2023-12-29,126,92,285,116,205,3
"85",2023-12-30,126,92,285,117,208,3
"86",2023-12-31,126,92,285,119,212,3
"87",2024-01-01,130,93,292,120,212,3
"88",2024-01-02,130,93,292,121,214,3
"89",2024-01-03,130,93,292,121,216,3
"90",2024-01-04,130,93,292,122,218,3
"91",2024-01-05,132,94,294,126,229,3
"92",2024-01-06,134,94,295,130,240,3
"93",2024-01-07,134,94,295,134,240,3
"94",2024-01-08,134,95,295,138,240,3
"95",2024-01-09,134,95,295,142,240,3
"96",2024-01-10,134,95,295,142,240,3
"97",2024-01-11,134,95,295,142,240,3
"98",2024-01-12,134,95,295,145,242,3
"99",2024-01-13,134,95,295,147,243,3
"100",2024-01-14,134,95,295,150,245,3
"101",2024-01-15,135,96,295,152,245,3
"102",2024-01-16,136,96,295,154,246,3
"103",2024-01-17,137,97,295,155,246,3
"104",2024-01-18,138,97,295,157,246,3
"105",2024-01-19,139,98,295,158,248,3
"106",2024-01-20,139,98,295,159,250,3
"107",2024-01-21,140,99,295,160,251,3
"108",2024-01-22,140,99,295,161,253,3
"109",2024-01-23,140,99,295,161,253,3
"110",2024-01-24,140,99,295,161,253,3
"111",2024-01-25,140,99,295,161,253,3
"112",2024-01-26,140,99,295,161,253,3
"113",2024-01-27,140,99,295,161,253,3
"114",2024-01-28,140,99,295,161,253,3
"115",2024-01-29,140,99,295,161,253,3
"116",2024-01-30,140,99,295,161,253,3
"117",2024-01-31,140,99,295,167,256,3
"118",2024-02-01,140,100,295,172,259,3
"119",2024-02-02,140,100,295,178,261,3
"120",2024-02-03,140,100,295,183,264,3
"121",2024-02-04,140,100,295,183,264,3
"122",2024-02-05,141,100,295,183,265,3
"123",2024-02-06,141,100,295,183,265,3
"124",2024-02-07,141,100,295,184,265,3
"125",2024-02-08,141,100,295,184,265,3
"126",2024-02-09,142,100,295,184,266,3
"127",2024-02-10,142,100,295,184,266,3
"128",2024-02-11,142,100,295,184,266,3
"129",2024-02-12,142,100,295,184,266,3
"130",2024-02-13,142,100,295,184,266,3
"131",2024-02-14,142,100,295,184,266,3
"132",2024-02-15,142,100,295,184,266,3
"133",2024-02-16,142,100,295,184,266,3
"134",2024-02-17,142,100,295,184,266,3
"135",2024-02-18,144,100,297,188,268,3
"136",2024-02-19,146,100,298,192,270,3
"137",2024-02-20,148,100,300,196,272,3
"138",2024-02-21,151,100,301,200,274,3
"139",2024-02-22,153,100,303,204,276,3
"140",2024-02-23,157,100,304,208,278,3
"141",2024-02-24,157,100,304,209,279,3
"142",2024-02-25,158,100,304,209,279,3
"143",2024-02-26,158,100,305,210,280,3
"144",2024-02-27,159,100,305,210,280,3
"145",2024-02-28,159,100,305,211,281,3
"146",2024-02-29,160,100,305,211,281,3
"147",2024-03-01,161,100,305,213,282,3
"148",2024-03-02,161,100,305,214,283,3
"149",2024-03-03,162,100,305,216,283,3
"150",2024-03-04,163,100,305,217,284,3
"151",2024-03-05,164,100,305,217,285,3
"152",2024-03-06,164,100,305,218,285,3
"153",2024-03-07,165,100,305,218,286,3
"154",2024-03-08,165,100,305,219,286,3
"155",2024-03-09,166,100,305,219,287,3
"156",2024-03-10,166,100,305,220,287,3
"157",2024-03-11,166,100,305,221,288,3
"158",2024-03-12,166,100,305,221,288,3
"159",2024-03-13,166,100,305,222,289,3
"160",2024-03-14,166,100,305,223,289,3
"161",2024-03-15,166,100,305,223,289,3
"162",2024-03-16,167,100,305,223,289,3
"163",2024-03-17,167,100,305,223,289,3
"164",2024-03-18,168,100,305,223,289,3
